,Gun_related_deaths,Pisa_ranking,Cities,Homosexuality_acceptance,VAT_Sales_Tax,Sport_venues,GDP_per_capita,Growth_percentage,Unemployment_percentage,Average_Annual_percent_sunshine,Housing,Culture,Travel_connectivity,predict
3,1,39,Almaty,66.56,0.12,53,24019.95,0.09,0.06,64.0,480,153,0.46,0
6,2,0,Andorra,73.05,0.0,5,0.0,-0.01,0.0,0.0,803,39,0.0,0
7,2,43,Ankara,9.0,0.18,177,19610.44,0.13,0.1,243.0,330,472,0.205,0
9,8,0,Asuncion,49.54,0.1,226,8448.58,0.12,0.06,12.5,550,542,0.065,0
10,2,35,Athens,53.0,0.24,100,25858.77,-0.02,0.25,266.7,560,224,0.37,0
14,0,0,Baku,43.77,0.18,89,17618.28,0.05,0.06,12.7,340,198,0.22,0
15,1,48,Bali,3.0,0.1,68,10640.9,0.08,0.06,207.0,233,408,0.195,0
16,10,24,Baltimore,96.88,0.0,0,0.0,0.8,0.0,0.0,1566,0,0.125,0
17,1,47,Bangkok,61.15,0.1,196,14354.3,0.1,0.01,12.5,916,890,0.415,0
19,0,8,Beijing,21.0,0.17,55,12879.85,0.18,0.04,12.7,1286,184,0.7,0
20,1,51,Beirut,18.0,0.1,3,17985.86,0.07,0.0,12.6,1040,255,0.13,0
22,3,0,Belgrade,75.85,0.2,90,13329.15,-0.01,0.19,75.0,486,131,0.21,0
23,0,0,Bengaluru,24.29,0.06,63,5855.31,0.16,0.08,12.5,330,138,0.4049999999999999,0
29,26,48,Bogota,89.16,0.16,75,13430.45,0.07,0.1,12.5,570,171,0.19,0
42,0,40,Bucharest,77.95,0.2,88,19711.63,0.43,0.07,12.7,490,145,0.35,0
43,1,31,Budapest,80.34,0.27,68,24942.16,0.01,0.07,12.8,660,353,0.44,0
44,6,40,Buenos-Aires,74.0,0.21,108,22582.5,0.06,0.08,124.0,616,377,0.375,0
46,33,0,Cairo,3.0,0.13,38,10877.19,0.08,0.13,12.6,250,355,0.375,0
49,33,0,cape-town,32.0,0.14,49,13046.07,0.09,0.27,254.0,1093,291,0.215,0
50,59,0,Caracas,51.0,0.12,24,17694.52,1.27,0.11,260.0,0,294,0.13,0
52,33,0,Casablanca,9.29,0.2,21,7606.2,0.07,0.1,0.0,586,88,0.29,0
56,0,0,Chennai,24.29,0.06,57,5855.31,0.06,0.08,12.5,0,152,0.42,0
57,1,47,Chiang-Mai,61.15,0.1,43,14354.3,0.01,0.01,12.5,450,286,0.1699999999999999,0
59,1,0,Chisinau,71.12,0.2,6,4979.33,0.0,0.06,0.0,390,71,0.16,0
63,0,40,Cluj-Napoca,77.95,0.2,13,19711.63,-0.41,0.07,12.8,493,137,0.175,0
69,21,52,Curitiba,60.0,0.42,107,16096.32,0.04,0.13,228.0,453,370,0.09,0
71,33,0,Dar-es-Salaam,26.32,0.18,5,2666.71,0.34,0.0,12.5,933,35,0.15,0
72,0,0,Delhi,24.29,0.06,61,5855.31,0.1,0.08,12.6,360,240,0.5650000000000001,0
86,21,52,Florianopolis,60.0,0.42,57,16096.32,0.08,0.13,225.0,540,298,0.07,0
90,0,14,Gdansk,42.0,0.23,9,25105.4,0.0,0.1,181.0,683,166,0.285,0
92,2,0,Gibraltar,89.0,0.0,0,0.0,0.01,0.0,12.6,2166,2,0.075,0
96,11,41,Guadalajara,61.0,0.16,160,17880.51,-0.01,0.04,277.1,456,454,0.175,0
97,34,0,Guatemala-City,80.03,0.12,43,7503.47,0.05,0.03,222.0,620,217,0.08,0
101,1,0,Havana,78.65,0.0,0,11950.0,-0.02,0.03,265.0,626,13,0.195,0
103,1,22,Ho-Chi-Minh-City,55.27,0.1,58,5634.9,0.18,0.04,12.5,660,186,0.205,0
107,0,0,Hyderabad,24.29,0.06,56,5855.31,0.09,0.08,12.5,250,104,0.385,0
110,2,43,Istanbul,9.0,0.18,258,19610.44,0.08,0.1,12.7,550,618,0.585,0
112,1,51,Jakarta,3.0,0.1,296,10640.9,0.09,0.06,246.0,633,932,0.25,0
113,33,0,Johannesburg,32.0,0.14,90,13046.07,0.1,0.27,12.5,866,371,0.32,0
116,1,0,Kathmandu,87.91,0.13,15,2375.58,0.62,0.46,12.6,250,63,0.105,0
117,0,0,Kiev,71.98,0.2,51,8668.33,0.01,0.1,0.0,500,213,0.55,0
118,31,0,Kingston,34.67,0.13,12,8609.28,0.01,0.14,12.5,533,128,0.08,0
120,0,14,Krakow,42.0,0.23,12,25105.4,-0.01,0.1,217.0,700,190,0.295,0
121,1,38,Kuala-Lumpur,9.0,0.06,253,24654.19,0.1,0.03,12.5,606,827,0.355,0
123,33,0,Lagos,1.0,0.05,17,6031.42,0.13,0.24,312.0,723,118,0.175,0
124,1,0,La-Paz,43.0,0.13,38,6220.93,0.07,0.08,12.5,426,97,0.13,0
131,6,47,Lima,69.04,0.18,103,11817.04,0.09,0.06,12.5,610,278,0.2,0
132,2,18,Lisbon,95.36,0.23,78,26974.63,0.0,0.11,218.0,1066,265,0.42,0
139,0,0,Lviv,71.98,0.2,31,8668.33,0.0,0.1,31.0,320,145,0.375,0
145,5,0,Managua,83.04,0.15,17,4736.48,0.02,0.06,252.0,396,79,0.06,0
147,9,0,Manila,73.0,0.12,96,6961.63,0.03,0.07,12.5,630,736,0.265,0
149,26,48,Medellin,89.16,0.16,45,13430.45,0.01,0.1,12.5,510,188,0.095,0
